"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"C1,C3,C18,C19,C28,C102","6","520L103KT16","","","","Capacitor_SMD:C_0402_1005Metric"
"C2,C31,C32,C33","4","04025J4R0ABSTR","","","","Capacitor_SMD:C_0402_1005Metric"
"C4,C24,C25","3","CL31B106KAHNNNE","","","","Capacitor_SMD:C_0402_1005Metric"
"C7,C9,C20,C21,C22,C23,C26,C27,C29,C30,C35","11","VJ0402Y104KXJPW1BC","","","","Capacitor_SMD:C_0402_1005Metric"
"D1","1","MTSM1346SMR1-030","","","","MTSM1346SMR1-030:SMD6_3X3_MTSM1346SMF1_MTO"
"D2","1","BZT52C2V0-7-F","","","","Diode_SMD:D_SOD-123"
"D3","1","MTPD1346D-010","","","","MTPD1346D-010:MTPD1346D010"
"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10","10","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad"
"J1,J2","2","CONSMA001-G","","","","CONSMA001-G:CONSMA001G"
"J3","1","L77TSEH09SOL2","","","","L77TSEH09SOL2:L77TSEH09SOL2"
"J4","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"J5","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J6","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"JP1","1","SolderJumper_3_Open","","Excluded from BOM","","Jumper:SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm"
"L1,L2,L3,L4,L5,L6,L7,L8","8","LQW15AN6N2G8ZD","","","","Inductor_SMD:L_0402_1005Metric"
"LASER1","1","OPV302","","","","TO-46-3:TO46-3"
"Q1","1","BFP620H7764XTSA1","","","","BFP640:BFP620H7764XTSA1"
"R2,R101,R102,R103","4","FC0603E50R0BST1","","","","Resistor_SMD:R_0402_1005Metric"
"R6,R23","2","TNPW040210R0DEED","","","","Resistor_SMD:R_0402_1005Metric"
"U1","1","LT3042EMSE#PBF","","","","LT3042EMSE#PBF:SOP50P490X110-11N"
"U2","1","AD5693RARMZ","","","","AD5693RARMZ:SOP50P490X110-10N"
"U3","1","INA226","","","","Package_SO:VSSOP-10_3x3mm_P0.5mm"
"U4","1","ISL21080DIH309Z-TK","","","","Package_TO_SOT_SMD:SOT-23-3"
